movieId,centGroup,close1,close2,close3,close4,far1,far2,far3,far4
94482,109,241,105,251,192,380,108,443,174
5342,109,241,105,251,192,380,108,443,174
146333,109,241,105,251,192,380,108,443,174
131500,109,241,105,251,192,380,108,443,174
43567,109,241,105,251,192,380,108,443,174
103749,109,241,105,251,192,380,108,443,174
164647,109,241,105,251,192,380,108,443,174
86604,109,241,105,251,192,380,108,443,174
79197,109,241,105,251,192,380,108,443,174
877,109,241,105,251,192,380,108,443,174
172823,109,241,105,251,192,380,108,443,174
69284,109,241,105,251,192,380,108,443,174
73922,109,241,105,251,192,380,108,443,174
72897,109,241,105,251,192,380,108,443,174
158571,109,241,105,251,192,380,108,443,174
137966,109,241,105,251,192,380,108,443,174
6143,109,241,105,251,192,380,108,443,174
95054,109,241,105,251,192,380,108,443,174
122347,109,241,105,251,192,380,108,443,174
172521,109,241,105,251,192,380,108,443,174
158687,109,241,105,251,192,380,108,443,174
6097,109,241,105,251,192,380,108,443,174
92881,109,241,105,251,192,380,108,443,174
149376,109,241,105,251,192,380,108,443,174
32625,109,241,105,251,192,380,108,443,174
165111,109,241,105,251,192,380,108,443,174
174107,109,241,105,251,192,380,108,443,174
129673,109,241,105,251,192,380,108,443,174
143158,109,241,105,251,192,380,108,443,174
143972,109,241,105,251,192,380,108,443,174
64327,109,241,105,251,192,380,108,443,174
122282,109,241,105,251,192,380,108,443,174
159803,109,241,105,251,192,380,108,443,174
40681,109,241,105,251,192,380,108,443,174
132412,109,241,105,251,192,380,108,443,174
148620,109,241,105,251,192,380,108,443,174
77470,109,241,105,251,192,380,108,443,174
103721,109,241,105,251,192,380,108,443,174
72037,109,241,105,251,192,380,108,443,174
129044,109,241,105,251,192,380,108,443,174
158743,109,241,105,251,192,380,108,443,174
161177,109,241,105,251,192,380,108,443,174
150252,109,241,105,251,192,380,108,443,174
94542,109,241,105,251,192,380,108,443,174
6171,109,241,105,251,192,380,108,443,174
163803,109,241,105,251,192,380,108,443,174
104675,109,241,105,251,192,380,108,443,174
130196,109,241,105,251,192,380,108,443,174
2246,109,241,105,251,192,380,108,443,174
155719,109,241,105,251,192,380,108,443,174
87999,109,241,105,251,192,380,108,443,174
155024,109,241,105,251,192,380,108,443,174
73678,109,241,105,251,192,380,108,443,174
83004,109,241,105,251,192,380,108,443,174
107052,109,241,105,251,192,380,108,443,174
96298,109,241,105,251,192,380,108,443,174
172353,109,241,105,251,192,380,108,443,174
162286,109,241,105,251,192,380,108,443,174
103266,109,241,105,251,192,380,108,443,174
149634,109,241,105,251,192,380,108,443,174
50898,109,241,105,251,192,380,108,443,174
114365,109,241,105,251,192,380,108,443,174
54455,109,241,105,251,192,380,108,443,174
73462,109,241,105,251,192,380,108,443,174
126176,160,445,78,226,126,370,263,57,362
162132,160,445,78,226,126,370,263,57,362
52189,160,445,78,226,126,370,263,57,362
40465,160,445,78,226,126,370,263,57,362
146146,160,445,78,226,126,370,263,57,362
5703,160,445,78,226,126,370,263,57,362
146252,160,445,78,226,126,370,263,57,362
100155,160,445,78,226,126,370,263,57,362
125605,160,445,78,226,126,370,263,57,362
98755,160,445,78,226,126,370,263,57,362
110515,160,445,78,226,126,370,263,57,362
100131,160,445,78,226,126,370,263,57,362
132080,160,445,78,226,126,370,263,57,362
87979,160,445,78,226,126,370,263,57,362
27277,160,445,78,226,126,370,263,57,362
122754,160,445,78,226,126,370,263,57,362
110316,160,445,78,226,126,370,263,57,362
130670,160,445,78,226,126,370,263,57,362
